Station;Latitude;Longitude;Ptime;Stime
MVOU;35.016;33.632;2023-02-06T01:18:29.119813Z;2023-02-06T01:19:10.875749Z
PARA;34.994;34.04;2023-02-06T01:18:25.523739Z;2023-02-06T01:19:04.648930Z
ARPRA;39.0929;38.3356;2023-02-06T01:18:10.545686Z;2023-02-06T01:18:37.816774Z
BNN;38.8521;35.8472;2023-02-06T01:18:07.849505Z;2023-02-06T01:18:32.400652Z
BOZY;36.1069;32.9763;2023-02-06T01:18:27.758469Z;2023-02-06T01:19:08.850906Z
CEYT;37.0105;35.7478;2023-02-06T01:17:55.140378Z;2023-02-06T01:18:09.435209Z
CHBY;38.5823;32.8902;2023-02-06T01:18:29.982106Z;2023-02-06T01:19:12.609776Z
CMRD;37.6623;34.9902;2023-02-06T01:18:04.716883Z;2023-02-06T01:18:26.822321Z
CORM;40.1785;34.6302;2023-02-06T01:18:30.092970Z;2023-02-06T01:19:12.442014Z
DARE;38.5712;37.4832;2023-02-06T01:18:01.240615Z;2023-02-06T01:18:20.474059Z
DYBB;37.9532;40.1393;2023-02-06T01:18:16.241387Z;2023-02-06T01:18:47.972444Z
ERBG;40.712;36.6768;2023-02-06T01:18:30.161471Z;2023-02-06T01:19:12.525271Z
ERZN;39.5867;39.722;2023-02-06T01:18:25.434717Z;2023-02-06T01:19:03.993959Z
GULA;38.3444;34.236;2023-02-06T01:18:15.809426Z;2023-02-06T01:18:46.796372Z
IKL;36.2366;33.6845;2023-02-06T01:18:20.417289Z;2023-02-06T01:18:55.106994Z
KAMT;39.3692;33.7124;2023-02-06T01:18:27.588126Z;2023-02-06T01:19:08.512687Z
KHMN;37.3916;37.1574;[];[]
KMRS;37.5053;36.9;[];[]
KOZK;39.2101;34.868;2023-02-06T01:18:17.741014Z;2023-02-06T01:18:50.357973Z
KRMN;37.174;33.2636;2023-02-06T01:18:21.953975Z;2023-02-06T01:18:58.453159Z
KRTS;36.573;35.375;2023-02-06T01:18:01.184973Z;2023-02-06T01:18:20.597593Z
KYHL;40.3244;37.8955;2023-02-06T01:18:25.200521Z;2023-02-06T01:19:03.955976Z
LFK;35.2832;33.5335;2023-02-06T01:18:28.109047Z;2023-02-06T01:19:08.826821Z
LMOS;36.6021;32.6962;2023-02-06T01:18:29.143279Z;2023-02-06T01:19:11.253150Z
MAZI;37.4593;40.4465;2023-02-06T01:18:18.173831Z;2023-02-06T01:18:51.511569Z
MERS;36.8678;34.522;2023-02-06T01:18:09.208193Z;2023-02-06T01:18:34.956102Z
RFHY;39.927;38.833;2023-02-06T01:18:23.735441Z;2023-02-06T01:19:01.065992Z
RSDY;40.3971;37.3273;2023-02-06T01:18:25.515021Z;2023-02-06T01:19:04.385818Z
SARI;38.4072;36.4181;2023-02-06T01:17:59.105711Z;2023-02-06T01:18:17.113340Z
SLFK;36.3925;33.9464;2023-02-06T01:18:16.828742Z;2023-02-06T01:18:48.765273Z
SULT;38.1988;33.5157;2023-02-06T01:18:21.681228Z;2023-02-06T01:18:57.779083Z
SVAN;38.1511;41.1984;2023-02-06T01:18:27.741528Z;2023-02-06T01:19:08.892262Z
SVSK;39.9157;36.9925;2023-02-06T01:18:18.991139Z;2023-02-06T01:18:52.502377Z
TAHT;36.3755;36.1855;2023-02-06T01:17:55.493140Z;2023-02-06T01:18:09.790000Z
TOKT;40.3173;36.5443;2023-02-06T01:18:24.652730Z;2023-02-06T01:19:02.827245Z
TUNC;39.6942;37.5388;2023-02-06T01:18:15.767190Z;2023-02-06T01:18:47.175515Z
URFA;37.4409;38.8213;2023-02-06T01:18:00.882726Z;2023-02-06T01:18:20.109884Z
YAYX;38.9387;33.8115;2023-02-06T01:18:23.905547Z;2023-02-06T01:19:01.347945Z
YESY;37.7825;33.7431;2023-02-06T01:18:17.911075Z;2023-02-06T01:18:50.871395Z
YOZ;39.6376;35.3152;2023-02-06T01:18:19.876303Z;2023-02-06T01:18:54.158057Z
ANDN;37.58;36.3452;2023-02-06T01:17:49.366357Z;2023-02-06T01:17:59.228913Z
